Dataset,ave_n_neighbors,n_observations,n_features,n_classes,Endpoint,Imbalance,Task,Metadata,seed,n_neighbors,p,weight,score,
analcatdata_aids,11,50,4,2,binary,0,classification,,1,11,2,u,0.1538,
,,,,,,,,,2,11,2,u,0.1538,
,,,,,,,,,3,11,2,u,0.1538,
,,,,,,,,,4,11,1,u,0.1538,
,,,,,,,,,5,11,2,u,0.1538,
,,,,,,,,,6,11,2,u,0.1538,
,,,,,,,,,7,11,2,u,0.1538,
,,,,,,,,,8,11,1,u,0.1538,
,,,,,,,,,9,11,2,u,0.1538,
,,,,,,,,,10,11,1,u,0.1538,
,,,,,,,,,,,,,,
analcatdata_asbestos,2,83,3,2,binary,0.01,classification,,1,2,1,u,0.619,
,,,,,,,,,2,2,1,u,0.619,
,,,,,,,,,3,2,1,u,0.619,
,,,,,,,,,4,2,1,u,0.619,
,,,,,,,,,5,2,1,u,0.619,
,,,,,,,,,6,2,1,u,0.619,
,,,,,,,,,7,2,1,u,0.619,
,,,,,,,,,8,2,1,u,0.619,
,,,,,,,,,9,2,1,u,0.619,
,,,,,,,,,10,2,1,u,0.619,Haci segui copiando
,,,,,,,,,,,,,,
analcatdata_authorship,10.8,841,70,4,categorical,0.08,classification,,1,6,1,d,0.9953,
,,,,,,,,,2,22,1,u,0.9905,
,,,,,,,,,3,6,1,d,0.9953,
,,,,,,,,,4,6,1,d,0.9953,
,,,,,,,,,5,6,1,d,0.9953,
,,,,,,,,,6,22,1,u,0.9905,
,,,,,,,,,7,6,1,d,0.9953,
,,,,,,,,,8,6,1,d,0.9953,
,,,,,,,,,9,22,1,u,0.9905,
,,,,,,,,,10,6,1,d,0.9953,
,,,,,,,,,,,,,,
analcatdata_bankruptcy,4.6,50,6,2,binary,0,classification,,1,4,1,d,0.6923,
,,,,,,,,,2,4,1,d,0.6923,
,,,,,,,,,3,4,1,d,0.6923,
,,,,,,,,,4,6,1,d,0.7692,
,,,,,,,,,5,4,1,d,0.6923,
,,,,,,,,,6,4,1,d,0.6923,
,,,,,,,,,7,4,1,d,0.6923,
,,,,,,,,,8,6,1,d,0.7692,
,,,,,,,,,9,4,1,d,0.6923,
,,,,,,,,,10,6,1,d,0.7692,
,,,,,,,,,,,,,,
analcatdata_boxing1,21,120,3,2,binary,0.09,classification,,1,21,1,d,0.7333,
,,,,,,,,,2,21,1,d,0.7333,
,,,,,,,,,3,21,1,d,0.7333,
,,,,,,,,,4,21,1,d,0.7333,
,,,,,,,,,5,21,1,d,0.7333,
,,,,,,,,,6,21,1,d,0.7333,
,,,,,,,,,7,21,1,d,0.7333,
,,,,,,,,,8,21,1,d,0.7333,
